dialect	standard
그게 에 가스미 가스미 갱장이 이 빠개저 나가능 거그치 아품니다	그게 에가슴이 가슴이 굉장히 이 빠개져 나가는 것같이 아픕니다
심장이 발 발짜글 하고	심장이 발작을 하고
그개 저 심근경새기라구 하능 거연나부내요	그게 저 심근경색이라고 하는 거였나 보네요
그르치요	그렇지요
싱근 영새기지요	심근경색이지요
으 경새긴데	심근 경색인데
그 인재 츠매 발짜걸 해따가 낭중앤 자꾸 더해 가주고 세 번챈 대수술를 해야된다 고라더라고요	그 이제 처음에 발작을 했다가 나중에 자꾸 더 해 가지고 세번째는 대수술을 해야 된다고 하더라고요
그래가주구 이 가스물 요래 뚝빠개짜너요	그래가지고 이 가슴을 이렇게 쭉 빠갰잖아요
포가 나지요	표가 나지요
아아	아
이 월개 예예	예예
포가 나지요	표가 나지요
여 요까지 다 이 아주 여러노코 핻 항 거요	여 요기까지 다 이 아주 여러 놓고한 거예요
그러먼 이 피쭈럴 여길 뺌미다 요거	그러면 이 핏줄을 여기를 뺍니다 요거
이댄 피쭈럴 혈가널 빼 가주고	이 댄 핏줄을 혈관을 빼 가지고
요기 빼구 요 요기서 여기 이 다 빼구	여기 빼고 요 요기서 여기 이 다 빼고
요까지 요거 다 뺌미다	요기까지 요거 다 뺍니다
다 빼요	다 빼요
가따 이서 농 거지요	갖다 이어 놓은 거지요
허허	허허
그래 살고 이찌요 지금	그래 살고 있지요
허허	허허
그래두 의수리 조아서	그래도 의술이 좋아서
에에 그래요 의수리 조아서	예 그래요 의술이 좋아서
다 중는다 그래쬬 뭐 그때는	다 죽는다 그랬지요 뭐 그때는
그개 저 혈과니 이르캐 오 쪼라드러 가주구 그렁 거자나요	그개 저 혈관이 이렇게 졸아들어 가지고 그런 거잖아요
피가 안 통해서	피가 안 통해서
그르쵸 안 통하조	그렇지요 안 통하지요
안 통해 가주구 인재	안 통해 가지고 이제
그 수술할라구 들먼 그 이 저	그 수술하려고 들면 그 이 저
심장	심장
심장이 이 피쭈머니 아니유	심장이 핏주머니 아니요
팍팍팍하는대 그 피 팍팍팍 가능 기 지그먼 다 나타남니다	팍팍팍하는데 그 피가 팍팍팍 가는 게 지금은 다 나타납니다
아주 저기	아주 저기
현대시그로 대 이써 가주구	현대식으로 되어 있어 가지고
아주 수수라능 기 다 보이두룩 그르캐 대이찌요	아주 수술하는 게 다 보이도록그렇게 되어 있지요
그 하라부지 태어나셔서부터 지금까지 사라오신 내려개 대애서 한 번 얘기 줌해주새요	그 할아버지 태어나셔서부터 지금까지 살아오신 내력에 대해서 한번얘기 좀 해 주세요
머 하이튼 얜날 얜나래 놀등 거 머 칭구들 머 머하구 이렁 거	뭐 하여튼 옛날옌날에 놀던 거 친구들 뭐 뭐하고 이런 거
예예	예
그렁	그런
하이튼 머 하실 말씀 인능 거 다 한 번 얘기해 줘 보새요	하여튼 뭐 하실 말씀있는 거 다 한 번 얘기해 줘 보세요
그렁건 머 얘기할 쑤 있지요	예 그런 건 뭐 얘기할 수 있지요
나는 인재 이 지배서 태어난 사라밈미다	나는 이제 이 집에서 태어난 사람입니다
이 지배서	이 집에서
에 이 지배서 태어나꾸	에 이 집에서 태어났고
이 아주 초갇찌비써써요 지비 옌나래	이 아주 초갓집이었어요 집이 옛날에
아주 초가찌비고	아주 초갓집이었고
이 집 이 뜨러기 한 질 댐니다	어 이 집 이 뜰이 한 길 됩니다
한 질	한 길
그런 초가찌배 사라서 살민성 태어난 사라미요 내가	그런 초갓집에 살아서 살면서 태어난 사람이에요 내가
그런대아번님깨서 일찌기 도라가시찌요	그런데 에 아버님께서 일찍이 돌아가셨지요
그라구 이재 어먼님하구 인재 눈님덜 둘 인재 동생 한 사람	그리고 이제 어머님하고 이제 누님들 둘 동생 한 사람
그래 나아고 고래 사남매가 여기서 사라찌요	그 나하고 그렇게 사남매가 여기서 살았지요
그런 쪽 머 여기두 옌나래 아주 초님미다	그런 죽 뭐 여기도 옛날엔 아주 촌이었습니다
아주 초니니까 머	아주 촌이니까 뭐
그냥 농사진는 초니니까	어 그냥 농사짓는 촌이니까
읻 나무도 지개로 저다가 사내 가서 저다가 불 때 가밍서 밥패먹꼬 살고	이 나무도 지게로 져다가 산에 가서 져다가 불 때 가면서 밥 해 먹고 살고
그래 살다보니까 결구건 어디 나가본 대두 우꼬	어 그래 살다 보니까 결국은 어디 나가 본 데도 없고
그 일찌기 도러가셔쪼	그 일찍이 돌아가셨지요
아번니미 나 스물한 살 때 도라가시쓰니까	아버님이 나 스물한 살 때 돌아가셨으니까
머 내가 다 인재 에 집 채기멀 맏따시피 하고 사라끼 때미내	내가 다 이제 에집 책임을 맡다시피 하고 살았기 때문에
여기 내려근 대주 대충 다 암니다	여기 내력은 대충 대충 다 압니다
그러면 하라번니미 장나미싱가요	그러면 할아버님은 장남이신가요
내가 장 장나민대 눈님덜 두리꼬	내가 장 장남인데 누님들 둘 있고
동생은대정가 살다 삼년 저내 주거써요	동생은 대전에 가서 살다가 삼년전에 죽었어요
나보다 먼저 주거찌요	나보다 먼저 죽었지요
그러면 누님드른뇨	그러면 누님들은요
누님드런 인재 지금 사라 개심미다 두 분 다	누님들은 이제 지금 살아 계십니다 두 분 다
한 부넌그르닝깨 팔씹 여서시지요	한 분은 에 그러니까 팔십여섯이지요
둘째 누니먼 팔씹 섿	둘째 누님은 팔십 셋
그 나는 팔씹	나는 팔십
내 동생은 세 살 터우리조	내 동생은 세 살 터울이지요
그르닝깨 내 동상언 칠씨빌곱 지금 사라 이쓰먼	그러니까 내 동생은 일흔일곱지금 살아 있으면
그럼 누님뿐드른 어디 사세요	그럼 누님분들은 어디 사세요
한 부넌	한 분은 에
츠매넌 인재 요 백짜릴리라고 요 가까운대로 시집벌 간는대	처음에는 이제 요기 백자리리라고 요기 가까운 데로 시집을 갔는데
에 지그먼 인재 사능 거넌 저 청주 가 살구 이써요	에 지금은 이제 사는 건저기 청주에 가서 살고 있어요
청주	청주
청주애 내가 따리 한 따리 딱 하난대	청주에 내가 딸이 한 딸이 딱 하난데
따라나하구	딸 하나 하고
고고 아더리 또 두째 아더리 고가 살고 이끼 때매	그그 아들이 또 둘째 아들이 거기에 살고 있기 때문에
거기서 살구 이찌요 지금	거기서 살고 있지요 지금
그라구 인재 자근 누니먼 요 청사니라카는대 살고 이꼬요 지금	그러고 이제작은 누님은 여기 청산이라고 하는데 살고 있고요 지금
청산	청산
다 정정하시구요	다 정정하시고요
근대 지금 다 정정하지 안치요	그런데 지금 다 정정하지 않지요
기도 어두꼬	귀도 어둡고
또 모미 다 조털 아나조	또 몸이 다 좋지 않지요
그르캐	그렇게
또 자근 누니먼 허리가 이 꼬보랑 함니다	또 작은 누님은 허리가 꼬부랑 합니다
머 좀 환자 테기지요 머	뭐 좀 환자 같지요
가끔 이르캐 만나시거나	가끔 이렇게 만나시거나
만내지요	예 만나지요
일려내 한 번 쓰건 만내고	일년에 한 번 씩은 만나고
두 번두 만내기두 하고 만내지요	두 번도 만나기도 하고 만나지요
절물 절물 때 가치 클 때보다 더 요새 만나면 더 새록새로 카지시요	젊은 때같이 클 때보다 더 요새 만나면 더 새록새록하시지요
그르치오	그렇지요
근 머 참 늘거갈쑤록자꾸 만내쓰먼 하는대	그건 뭐 참 늙어갈수록자꾸만났으면 하는데
자주 몸 만내지요 더 옌날보담	자주 못 만나지요 더 옛날보다
인재 나이 머꾸 이라닝깨 점점 더 몸만내요	이제 나이 먹고 이러니까 점점 더못 만나고
